Date,Location,Traffic Volume,Vehicle Type,Weather,Temperature,Speed,Accident,Holiday,Congestion Level
2025-10-16,Industrial,640,Truck,Sunny,41,59.4,No,No,Low
2024-01-31,North,399,Car,Cloudy,31,64.0,No,No,Low
2026-02-16,East,251,Truck,Sunny,21,65.0,No,No,Low
2026-05-17,South,401,Car,Rainy,30,65.0,No,No,Medium
2026-06-25,North,519,Car,Sunny,20,54.2,No,No,Low
2024-10-11,Airport,924,Truck,Sunny,40,37.0,No,No,High
2025-10-12,Industrial,906,Bus,Sunny,38,42.8,No,No,Medium
2026-05-13,Airport,995,Car,Rainy,36,38.2,No,No,High
2025-02-09,North,767,Truck,Sunny,41,53.3,No,No,Low
2024-08-12,East,984,Car,Rainy,23,34.6,No,No,High
2025-01-25,West,611,Truck,Foggy,41,55.6,Yes,No,High
2024-04-24,North,551,Bike,Sunny,34,53.0,No,No,Low
2026-05-11,West,838,Bus,Sunny,42,38.5,No,No,Medium
2024-11-27,Downtown,650,Truck,Rainy,19,48.0,No,No,Low
2026-01-19,Airport,823,Bus,Sunny,26,52.1,No,No,Low
2025-07-06,North,552,Truck,Sunny,34,56.9,No,No,Low
2024-03-06,West,191,Bus,Cloudy,19,65.4,No,Yes,Low
2024-03-13,South,771,Bike,Sunny,36,48.2,No,No,Low
2026-04-06,Downtown,287,Car,Cloudy,41,63.5,No,No,Low
2025-02-16,Airport,318,Car,Sunny,31,73.3,No,No,Low
2026-06-14,Airport,344,Car,Sunny,20,71.2,No,No,Low
2025-05-07,Downtown,460,Bus,Sunny,32,68.6,No,No,Low
2024-07-13,Downtown,823,Car,Rainy,34,40.1,No,Yes,Medium
2024-03-23,West,460,Car,Cloudy,36,54.6,No,No,Low
2024-03-24,West,552,Truck,Rainy,25,53.9,No,No,Low
2025-04-13,Downtown,407,Bike,Cloudy,35,63.7,No,No,Low
2024-12-23,South,864,Truck,Sunny,37,37.4,No,No,Medium
2024-11-02,North,502,Truck,Sunny,26,57.9,No,No,Low
2024-07-27,Airport,316,Truck,Cloudy,19,72.4,No,No,Low
2024-02-15,Airport,891,Bus,Cloudy,35,36.4,No,No,Low
2024-03-18,West,300,Car,Rainy,22,71.0,No,No,Low
2025-01-01,North,866,Car,Sunny,37,44.4,No,No,Low
2026-03-30,Downtown,1139,Bus,Rainy,39,33.4,No,No,High
2024-06-12,East,616,Car,Rainy,32,54.4,No,No,Medium
2024-01-25,East,726,Truck,Sunny,29,55.0,No,Yes,Medium
2024-12-05,South,592,Bus,Cloudy,37,58.3,Yes,No,Medium
2025-09-12,East,947,Bus,Sunny,35,40.1,Yes,No,High
2025-03-17,South,546,Truck,Cloudy,34,63.2,No,No,Low
2025-02-16,West,395,Bus,Sunny,41,65.2,No,No,Low
2025-07-15,South,625,Bus,Sunny,32,53.0,No,No,Medium
2025-04-29,Industrial,889,Car,Sunny,20,45.4,No,No,Low
2026-04-05,Downtown,632,Car,Sunny,20,52.7,No,No,Low
2025-05-21,North,671,Car,Rainy,42,50.2,No,No,Medium
2025-04-20,North,750,Car,Cloudy,35,56.0,No,No,Medium
2026-04-14,East,1012,Bike,Rainy,26,39.5,No,No,High
2025-05-11,South,633,Bike,Sunny,28,50.7,No,No,Low
2024-08-24,North,175,Bus,Sunny,31,78.0,No,No,Low
2026-02-27,Downtown,806,Bike,Cloudy,30,46.8,No,No,Low
2024-08-12,East,624,Car,Sunny,41,61.0,No,No,Low
2025-09-29,East,357,Car,Sunny,23,69.7,No,No,Low
2024-08-04,South,545,Bike,Sunny,20,51.2,No,No,Low
2024-08-17,Airport,855,Car,Rainy,18,44.8,No,No,Medium
2025-04-29,West,872,Bus,Cloudy,37,40.1,No,No,Low
2024-11-14,Downtown,282,Truck,Cloudy,40,67.7,No,No,Low
2025-12-14,West,967,Car,Rainy,35,44.3,Yes,No,High
2025-06-02,Downtown,831,Bike,Rainy,38,42.8,No,No,Medium
2024-06-29,Industrial,717,Truck,Cloudy,32,51.3,No,No,Low
2026-05-22,South,591,Bike,Sunny,30,63.4,No,No,Low
2024-07-05,South,631,Truck,Sunny,26,62.8,No,No,Low
2024-03-28,East,856,Bike,Cloudy,40,37.8,No,No,Low
2024-10-28,Industrial,700,Bus,Sunny,34,54.0,No,No,Low
2025-12-20,South,803,Truck,Sunny,41,44.9,No,No,Low
2024-08-09,South,400,Truck,Foggy,29,56.0,No,No,Medium
2024-05-09,Downtown,568,Truck,Cloudy,33,49.3,No,No,Low
2024-10-18,East,266,Truck,Sunny,33,63.4,No,Yes,Low
2025-05-18,Industrial,344,Car,Sunny,20,71.2,No,No,Low
2025-09-02,Airport,697,Bike,Cloudy,31,45.1,No,No,Medium
2026-01-27,Industrial,176,Bus,Sunny,35,65.0,No,No,Low
2025-04-06,East,307,Truck,Sunny,32,66.7,No,No,Low
2026-03-17,Industrial,223,Bus,Sunny,26,64.1,No,No,Low
2026-03-22,Industrial,646,Truck,Sunny,30,61.2,No,No,Low
2024-03-23,East,859,Truck,Cloudy,39,37.6,No,Yes,Medium
2025-08-13,East,706,Bike,Rainy,38,58.8,No,No,Medium
2025-02-22,Industrial,960,Car,Rainy,27,34.6,No,No,High
2024-03-31,South,1035,Car,Foggy,18,44.6,No,No,Medium
2024-02-25,South,431,Bike,Cloudy,35,63.8,No,No,Low
2026-06-20,Downtown,599,Car,Foggy,23,48.0,No,No,Medium
2025-02-21,Airport,867,Car,Cloudy,33,53.3,No,No,Low
2025-03-01,North,1049,Bike,Cloudy,34,34.0,No,No,Medium
2024-10-09,Airport,941,Truck,Rainy,36,49.4,No,No,Medium
2025-04-02,South,611,Truck,Cloudy,28,54.6,No,No,Medium
2025-01-27,Downtown,1241,Truck,Rainy,30,26.4,No,No,High
2024-02-07,West,650,Truck,Rainy,34,50.0,No,No,Medium
2026-06-10,Downtown,865,Bike,Rainy,30,47.4,No,No,Medium
2025-01-24,Industrial,995,Bike,Rainy,38,41.2,No,Yes,Medium
2026-02-03,Downtown,595,Car,Sunny,19,49.2,No,No,Low
2025-01-02,North,259,Bus,Cloudy,23,73.6,No,No,Low
2025-11-30,West,479,Bus,Sunny,39,66.8,No,No,Low
2025-11-24,Downtown,1130,Bike,Rainy,31,40.8,No,No,Medium
2024-07-22,Downtown,367,Bus,Sunny,40,69.3,No,No,Low
2024-01-09,Airport,750,Car,Rainy,27,53.0,No,No,Medium
2025-10-13,South,519,Bus,Cloudy,27,62.2,No,No,Low
2024-04-02,Industrial,911,Bike,Sunny,29,43.6,No,No,Medium
2024-09-20,Industrial,631,Truck,Rainy,42,58.8,No,No,Medium
2025-01-09,Downtown,477,Truck,Cloudy,39,64.9,No,No,Low
2024-04-20,East,451,Car,Cloudy,37,56.0,No,No,Low
2025-12-18,East,382,Car,Sunny,33,63.7,No,No,Low
2024-05-18,South,374,Bike,Cloudy,38,72.0,No,No,Low
2025-02-21,Industrial,516,Truck,Sunny,29,62.4,No,No,Low
2025-10-22,East,322,Truck,Sunny,32,65.1,No,No,Low
2024-01-22,North,542,Bus,Rainy,35,56.3,No,No,Low
2024-12-02,Downtown,386,Truck,Rainy,26,56.6,No,No,Low
2024-01-16,West,627,Truck,Sunny,31,48.9,No,No,Low
2025-04-04,West,867,Car,Cloudy,41,46.3,No,No,Low
2025-10-20,East,365,Bike,Sunny,32,59.4,No,No,Low
2025-09-14,North,806,Truck,Cloudy,30,48.8,No,No,Low
2025-06-01,Downtown,690,Car,Rainy,41,58.4,No,No,Medium
2025-02-27,East,602,Bike,Rainy,26,62.9,No,No,Low
2024-04-03,East,923,Car,Rainy,19,45.1,No,No,Medium
2025-02-24,Airport,589,Bike,Rainy,37,51.4,No,No,Medium
2025-06-03,Industrial,372,Bike,Sunny,29,65.1,No,No,Low
2024-08-19,Airport,313,Car,Cloudy,18,68.5,No,No,Low
2024-12-25,Airport,114,Bus,Cloudy,38,83.4,No,No,Low
2025-01-20,South,691,Bus,Sunny,36,45.4,No,No,Low
2024-06-10,Industrial,733,Car,Sunny,32,48.7,No,No,Medium
2024-04-26,Downtown,162,Truck,Cloudy,27,77.5,No,No,Low
2024-02-26,South,314,Bus,Rainy,21,72.4,No,No,Low
2024-05-12,Industrial,686,Bus,Cloudy,20,45.6,No,No,Low
2024-01-20,Airport,385,Truck,Cloudy,31,68.6,No,No,Low
2024-11-28,East,604,Truck,Sunny,36,49.8,No,No,Low
2026-06-10,South,913,Bus,Sunny,21,41.5,No,No,Medium
2024-12-25,Airport,410,Bus,Sunny,37,57.6,No,No,Low
2026-03-02,East,611,Bike,Cloudy,37,57.6,No,No,Low
2025-03-26,East,615,Truck,Rainy,20,61.4,No,No,Low
2024-02-28,Downtown,1045,Car,Cloudy,35,31.2,No,No,Medium
2026-04-09,North,552,Truck,Cloudy,32,59.9,No,No,Low
2025-05-31,Downtown,435,Bus,Rainy,37,65.6,No,No,Low
2025-01-31,Industrial,924,Car,Rainy,21,47.0,No,No,Medium
2024-09-15,West,544,Bus,Sunny,29,62.2,No,No,Low
2025-09-01,South,991,Bike,Cloudy,40,48.4,No,No,Low
2025-10-23,West,606,Truck,Sunny,28,54.8,No,No,Low
2024-06-07,Airport,267,Car,Cloudy,34,71.3,No,No,Low
2024-05-14,North,1090,Bus,Sunny,23,29.4,No,No,Medium
2025-01-08,North,667,Bike,Cloudy,25,54.3,No,No,Low
2026-05-05,Industrial,529,Bike,Cloudy,34,56.8,No,No,Low
2024-05-21,Industrial,559,Bike,Rainy,34,51.6,No,No,Low
2024-10-06,North,193,Bike,Sunny,29,65.3,No,No,Low
2025-05-29,East,690,Car,Sunny,40,48.4,No,Yes,Low
2024-02-09,Industrial,444,Bus,Rainy,20,60.2,No,No,Low
2025-07-15,West,411,Bike,Sunny,19,69.6,No,No,Low
2024-04-23,West,499,Car,Cloudy,27,63.0,No,No,Low
2025-08-07,Industrial,780,Car,Cloudy,35,56.8,No,No,Medium
2024-01-21,Downtown,554,Bike,Foggy,20,52.8,Yes,No,High
2026-01-22,Downtown,879,Truck,Cloudy,42,51.8,No,No,Low
2026-04-10,Industrial,621,Bike,Sunny,19,56.2,No,No,Medium
2025-02-11,South,629,Car,Rainy,42,56.8,No,No,Medium
2024-05-07,East,1015,Bike,Rainy,33,42.4,No,No,High
2024-09-30,East,414,Car,Sunny,27,57.4,No,No,Low
2025-11-07,East,758,Bike,Sunny,41,54.7,No,No,Low
2025-10-16,Industrial,423,Bike,Sunny,18,69.1,No,No,Low
2024-05-09,Airport,870,Truck,Sunny,22,48.2,Yes,No,Medium
2025-03-30,North,274,Truck,Sunny,21,66.0,No,No,Low
2025-06-14,Downtown,649,Truck,Rainy,37,61.0,No,No,Medium
2024-05-05,East,677,Bus,Rainy,39,55.9,No,No,Low
2025-07-17,South,937,Bus,Rainy,29,37.5,No,No,High
2026-03-22,Airport,348,Bike,Sunny,35,60.1,No,No,Low
2024-11-12,Industrial,269,Bike,Cloudy,20,63.2,No,No,Low
2025-04-22,South,422,Bus,Rainy,23,71.1,No,No,Low
2026-05-01,North,820,Truck,Sunny,29,48.2,No,No,Low
2024-09-13,West,759,Truck,Sunny,34,45.6,No,No,Low
2025-11-05,West,454,Truck,Rainy,18,61.8,No,No,Low
2026-02-24,West,796,Car,Cloudy,27,52.2,No,No,Low
2025-04-09,Downtown,287,Bus,Sunny,37,70.5,No,No,Low
2025-02-12,West,228,Car,Sunny,25,63.9,No,No,Low
2025-01-28,North,650,Bus,Rainy,24,62.0,No,No,Medium
